date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:20:24	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2267d06736-239b%22	https://isfayeed.github.io/robots.txt		(from )
06:20:24	3287/3287	---M-Z	200	added ('OK')	text/html	etag:W/%22677cea33-cd7%22	https://isfayeed.github.io/9/	C:/New%20folder%20(3)/ps4/isfayeed.github.io/9/index.html	(from )
06:20:25	2743/2743	---M-Z	200	added ('OK')	text/html	etag:W/%22677cea32-ab7%22	https://isfayeed.github.io/9/cache.html	C:/New%20folder%20(3)/ps4/isfayeed.github.io/9/cache.html	(from https://isfayeed.github.io/9/)
06:20:25	369595/369595	---M--	200	added ('OK')	image/jpeg	etag:%22677cea33-5a3bb%22	https://isfayeed.github.io/9/host.jpg	C:/New%20folder%20(3)/ps4/isfayeed.github.io/9/host.jpg	(from https://isfayeed.github.io/9/)
06:20:25	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://isfayeed.github.io/9/GET	C:/New%20folder%20(3)/ps4/isfayeed.github.io/9/GET	(from https://isfayeed.github.io/9/)
06:20:25	6848/6848	---M-Z	200	added ('OK')	application/javascript	etag:W/%22677cea33-1ac0%22	https://isfayeed.github.io/9/int64.js	C:/New%20folder%20(3)/ps4/isfayeed.github.io/9/int64.js	(from https://isfayeed.github.io/9/)
06:20:25	9704/9704	---M-Z	200	added ('OK')	application/javascript	etag:W/%22677cea33-25e8%22	https://isfayeed.github.io/9/rop.js	C:/New%20folder%20(3)/ps4/isfayeed.github.io/9/rop.js	(from https://isfayeed.github.io/9/)
06:20:25	31448/31448	---M-Z	200	added ('OK')	application/javascript	etag:W/%22677cea33-7ad8%22	https://isfayeed.github.io/9/kexploit.js	C:/New%20folder%20(3)/ps4/isfayeed.github.io/9/kexploit.js	(from https://isfayeed.github.io/9/)
06:20:26	1685/1685	---M-Z	200	added ('OK')	text/javascript	etag:W/%22677cea33-695%22	https://isfayeed.github.io/9/alert.mjs	C:/New%20folder%20(3)/ps4/isfayeed.github.io/9/alert.mjs	(from https://isfayeed.github.io/9/)
06:20:26	3287/3287	---M-Z	200	added ('OK')	text/html	etag:W/%22677cea32-cd7%22	https://isfayeed.github.io/9/index.html	C:/New%20folder%20(3)/ps4/isfayeed.github.io/9/index-2.html	(from https://isfayeed.github.io/9/cache.html)
